method,distill,distill,distill,distill,distill,label_smoothing,label_smoothing1,mixup,mixup2
model,m1,m2,m3,m4,m5,m1,m1,m1,m1
metric,margin,margin,margin,margin,margin,margin,margin,margin,margin
CIFAR10.resnet18.33.0_noaug,79.45,79.324,79.606,79.142,78.838,79.254,89.642,79.99,90.386
CIFAR10.LeNet5.33.0_noaug,62.434000000000005,62.672000000000004,62.498000000000005,60.284000000000006,60.096000000000004,61.912,64.6,63.484,63.73199999999999
FashionMNIST.LeNet1.33.0_noaug,88.125,87.055,88.17999999999999,88.02166666666666,87.83333333333336,87.90333333333332,88.01499999999999,86.49666666666667,87.23333333333333
FashionMNIST.LeNet5.33.0_noaug,91.00666666666666,91.11666666666666,90.96499999999999,90.92833333333333,90.73666666666666,90.92500000000001,90.90833333333332,90.84333333333335,90.76666666666667
MNIST.LeNet1.33.0_noaug,99.09833333333334,99.12166666666667,99.055,98.94166666666666,98.98833333333334,98.96499999999999,98.89166666666667,98.93333333333334,98.73
MNIST.LeNet5.33.0_noaug,99.30333333333333,99.28499999999998,99.3,99.28333333333332,99.27,99.30666666666667,99.25999999999999,99.185,99.13833333333334
SVHN.resnet18.33.0_noaug,94.2431430547019,94.23594038106945,94.29068070067609,94.2431430547019,94.25514751075599,94.07700138291334,94.37183082360173,94.64745313460355,94.1394245543946
SVHN.LeNet5.33.0_noaug,90.24469883220652,90.06799323909036,90.15106407498463,89.71026044867855,89.66320298094654,90.31000307314076,89.87448140749845,90.16210817455439,90.36954517516902
