method,distill,distill,distill,distill,distill,label_smoothing,label_smoothing1,mixup,mixup2
model,m1,m2,m3,m4,m5,m1,m1,m1,m1
metric,random,random,random,random,random,random,random,random,random
CIFAR10.resnet18.33.0_noaug,37.23098182678223,38.213276863098145,33.976656913757324,31.093640327453613,29.59886932373047,38.75978755950928,37.8520622253418,35.98509979248047,34.61988115310669
CIFAR10.LeNet5.33.0_noaug,37.294846534729004,35.94139385223389,35.84040546417236,27.352754592895508,22.572882652282715,36.53005313873291,22.191795587539673,32.94704818725586,23.962412357330322
FashionMNIST.LeNet1.33.0_noaug,18.570463562011717,16.5421199798584,13.369526386260986,11.791549491882325,11.715394401550293,13.650346374511718,11.847432518005371,12.871293640136718,14.107098007202149
FashionMNIST.LeNet5.33.0_noaug,18.548869323730468,17.5747013092041,16.652575874328612,15.084043884277344,14.018739700317383,14.878050994873046,15.258310890197754,13.701320457458497,14.510691070556641
MNIST.LeNet1.33.0_noaug,15.874596786499023,19.366937828063964,20.228800201416014,15.062152671813966,18.05113639831543,19.630837440490723,17.767156887054444,27.465909576416017,18.995998573303222
MNIST.LeNet5.33.0_noaug,23.098439979553223,27.881633758544922,19.796720695495605,25.956216430664064,22.74317808151245,20.94231300354004,22.990171241760255,20.349162673950197,20.837933349609376
SVHN.resnet18.33.0_noaug,30.928127561296737,30.638127190726145,26.719861711774552,24.989079884120397,23.93631717136928,32.975442613874165,34.314710344587056,31.959398814610072,31.14788327898298
SVHN.LeNet5.33.0_noaug,19.57114097050258,18.805203574044363,18.301431792122976,16.4589079448155,16.83738817487444,17.960478373936244,17.19602789197649,17.592813355582102,16.458264350891113
