method,distill,distill,distill,distill,distill,label_smoothing,label_smoothing1,mixup,mixup2
model,m1,m2,m3,m4,m5,m1,m1,m1,m1
metric,random,random,random,random,random,random,random,random,random
CIFAR10.resnet18.33.0_noaug,5.347500089555979,5.477500054985285,4.68999994918704,4.417500086128712,4.247500002384186,5.510000046342611,2.927500009536743,5.000000074505806,2.5224999990314245
CIFAR10.LeNet5.33.0_noaug,8.042499981820583,7.702500186860561,7.679999805986881,6.012499984353781,5.040000099688768,7.962500117719173,4.8300000838935375,7.022500038146973,5.2924999967217445
FashionMNIST.LeNet1.33.0_noaug,1.928000021725893,1.7099999822676182,1.412000022828579,1.2840000167489052,1.379999965429306,1.486000008881092,1.2719999998807907,1.4900000020861626,1.5960000082850456
FashionMNIST.LeNet5.33.0_noaug,1.5460000187158585,1.4880000054836273,1.3839999958872795,1.2839999794960022,1.1979999858886003,1.2679999880492687,1.3080000132322311,1.1839999817311764,1.2459999695420265
MNIST.LeNet1.33.0_noaug,0.14999999897554514,0.1700000022538006,0.18200000282377,0.13799999956972894,0.17600000370293856,0.2219999977387488,0.20000000367872417,0.3319999994710088,0.27400000020861626
MNIST.LeNet5.33.0_noaug,0.18799999728798863,0.2220000023953616,0.14600000111386174,0.19600000232458115,0.1840000029187649,0.16800000099465245,0.18400000408291817,0.17600000137463206,0.19799999892711634
SVHN.resnet18.33.0_noaug,1.6161427567047733,1.628764612334115,1.3576696892934186,1.2594389330063547,1.1842567340603896,1.7928483629865306,1.8367503503603595,1.6529107067201818,1.7258978049669946
SVHN.LeNet5.33.0_noaug,1.8060189671814442,1.7654096042471272,1.6721178511423724,1.539863007409232,1.564009115099907,1.6199841962328978,1.5848625916987658,1.5837650346968855,1.509680406057409
