method,distill,distill,distill,distill,distill,label_smoothing,label_smoothing1,mixup,mixup2
model,m1,m2,m3,m4,m5,m1,m1,m1,m1
metric,random,random,random,random,random,random,random,random,random
CIFAR10.resnet18.33.0_noaug,78.046,78.064,78.604,78.20599999999999,77.956,78.276,88.986,78.982,89.744
CIFAR10.LeNet5.33.0_noaug,61.358000000000004,61.596000000000004,61.5,59.878,58.99399999999999,60.712,64.34200000000001,62.60600000000001,63.5
FashionMNIST.LeNet1.33.0_noaug,87.95,87.98500000000001,87.73333333333335,87.42,86.51333333333334,87.435,87.61500000000001,86.15999999999998,86.685
FashionMNIST.LeNet5.33.0_noaug,90.39,90.28499999999998,90.42666666666666,90.18333333333332,90.14333333333333,90.19666666666666,90.17333333333333,90.125,90.115
MNIST.LeNet1.33.0_noaug,99.00166666666667,99.06166666666667,99.03500000000001,99.03333333333332,98.97500000000001,98.84000000000002,98.825,98.75333333333333,98.505
MNIST.LeNet5.33.0_noaug,99.13166666666666,99.125,99.19,99.16166666666668,99.11999999999999,99.13333333333333,99.14666666666666,99.07000000000001,98.99666666666667
SVHN.resnet18.33.0_noaug,93.66212738168409,93.57713583282114,93.76248463429624,93.77640980331898,93.85755992624462,93.42539950829749,93.76680623847571,93.97280270436386,93.24149124154886
SVHN.LeNet5.33.0_noaug,89.01400199754148,88.89395743700062,89.14845190534727,88.81376767055932,88.75422556853104,89.36261140135218,89.138848340504,89.40150583896744,89.31555393362015
